slang,formal
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajj , saja
ajja,saja
ajjh,saja
ak,aku
ak , aku
aka , dikenal juga sebagai
akau,aku
akherat , akhirat
akhirt,akhirat
akhirx , akhirnya
akhlah,akhlak
akhrt,akhirat
akika , aku
akko , aku
akkoh , aku
akku , aku
akn,akan
akn , akan
aktifis2 , aktivis-aktivis
aktivi , aktivis
aktivis2 , aktivis-aktivis
aku,saya
akuh,aku
akuhh,aku
akun2 , akun-akun
akuu,aku
akuuu,aku
akuuuur,akur
akuwh , aku
akyu , aku
ala2,ala-ala
alaami,alami
alak,kepala
alamii,alami
alamiii,alami
alay , norak
aleg , caleg
alhamd,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alih2 , alih-alih
alissnyaa,alisnya
aljasa , asal jadi saja
alkhamdulilah,alhamdulillah
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
alloh,allah
alm,almarhum
almaidahyg , almaidah
almh,almarhumah
aloh,allah
alow , halo
alu,aku
am,sama
ama,sama
ama , sama
amaattt,amat
amad,amat
amatt,amat
ambilin,mengambil
ambilin , ambilkan
ambl , ambil
ameen,amin
amen,amin
amerik , amarika
amfun,ampun
amien,aamiin
amiend,amien
amienn,amien
amiennn,amien
amiennnn,amien
amiien,amien
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinn,amin
amiinnn,amin
amiinnnn,amin
amin,aamiin
amin2,amin-amin
aminn,amin
aminn2,amin-amin
aminnn,amin
aminnnn,amin
aminnnn2,amin-amin
aminnnnn,amin
amit2,amit-amit
ammiiin,amin
ammin,amin
amohhh,kamu
ampe,sampai
amploppp,amplop
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuun,ampun
ampuuunn,ampun
ampyunnnn,ampun
amu,kamu
"anak""",anak-anak
anak2,anak-anak
anak2 , anak-anak
anak2e,anak-anaknya
anak2mu,anak-anakmu
anak2nya,anak-anaknya
anakny,anaknya
anakx,anaknya
anak'y,anaknya
analisise , analisis
ancur,hancur
ancur , hancur
ancurrr,hancur
and,dan
anda,kamu
andaaa,anda
ane,saya
aned,banget
anedh,banget
aneed,banget
aneh2,aneh-aneh
anehhh,aneh
aneut,banget
angis , nangis
anj,anjing
anjaaaayyyyyy,anjay
anjaayy,anjay
anjay , anjing
anjayyyy,anjay
anjingnyaa,anjingnya
anjir , anjing
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjjjjjjjj,anjing
anjrit , anjing
ank,anak
ank , anak
"ank""",anak-anak
ank2,anak-anak
ank2nya,anak-anaknya
ankknyaaa,anaknya
anknya,anaknya
ankx,anaknya
annnnjjjjjjrrrr,anjir
anter , antar
anterin,antar
anterin,antarkan
anugrah,anugerah
anyeng,anjing
ap,apa
ap , apa
ap2 , apa-apa
"apa""",apa-apa
apa2,apa-apa
apa2nya,apa-apanya
apaa,apa
apaaa,apa
apaaan,apaan
apaalahh,apalah
apaan , apa
apah,apa
apain,apai
apal,hapal
apalagiii,apalagi
apalai,apalagi
apalg,apalagi
apalgi,apalagi
apasih , apa sih
apasihhh,apasih
ape,apa
ape , apa
apes , sial
apikkkk,apik
aplikasiin,mengaplikasikan
aplks,aplikasi
aplot , unggah
apo,apa
appa,apa
applikasi,aplikasi
aps,apa
aps , apa
apun,apapun
apus,hapus
apva , apa
aq,aku
aq,saya
aq , saya
aqu,aku
aqu , aku
aquwh , aku
arab2,arab-arab
arghhh,ah
"artis""",artis-artis
artis2,artis-artis
artisnyaa,artisnya
"artist""",artis-artis
artix,artinya
as , amerika serikat
asap , sesegera mungkin
asbun , asal bunyi
aseek , asyik
aseekk , asyik
asek , asyik
asekk , asik
asekk , asyik
aseknya , asyiknya
asem , asam
asikkk,asik
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
asoy , asyik
aspal , asli tetapi palsu
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaaaaaaa,astaga
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
astrojim , astagfirullahaladzim
astul , asal tulis
asuuu,asu
asyikkkkk,asyik
atassan,atasan
atassss,atas
ath , kalau begitu
"ati""",hati-hati
ati2,hati-hati
ato,atau
ato , atau
ats,atas
ats , atas
atu,satu
atuh , kalau begitu
atuhh,atuh
atuhhh,atuh
atutt,takut
atuu,satu
atvsi , asosiasi televisi swasta indonesia
atw,atau
au , angkatan udara
au ah , tidak mau tahu
aurot,aurat
autuhh,tau tuh
ava , avatar
awaas,awas
awak , saya
awal2,awal-awal
awk,awak
awl,awal
awoohhh,allah
aws , awas
ay , sayang
ayahh,ayah
ayang , sayang
ayank,sayang
ayank , sayang
ayat2 , ayat-ayat
ayok , ayo
ayoklaa,ayolah
ayoo,ayo
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayooook,ayo
ayuk,ayo
ayukk,yuk
aza,saja
azaab,azab
azeeeek,asik
azekkkk,asik
b2,berdua
b2 , berdua
b2an,berduaan
b3,bertiga
b4 , sebelum
baaaaaang,bang
baaiikkk,baik
baang,bang
baanget,banget
baanggeettt,banget
babget,banget
baca2,baca-baca
bacaaaa,baca
bacahalah,bacalah
bacot , banyak bicara
bacotin,bacoti
badaaiii,badai
badaii,badai
badingkan,membandingkan
bae2,baik-baik
baek,baik
baek2,baik-baik
bag,bagian
bagaatt,banget
bagaimanaaa,bagaimana
bagaimna,bagaimana
baget,banget
bagi2,bagi-bagi
bagiii,bagi
bagiin,bagikan
bagiin,membagikan
bagus2,bagus-bagus
bagusnyeee,bagusnya
baguss,bagus
bagusss,bagus
bagussss,bagus
baguusss,bagus
baguuus,bagus
baguuuuus,bagus
bahas2,bahas-bahas
baik2,baik-baik
baik2nya,baik-baiknya
baikk,baik
baikxa,baiknya
bajir , banjir
baju.a,bajunya
baju2,baju-baju
baju'a,bajunya
bakalan , akan
bakar2in,bakar-bakari
bakattt,bakat
bales,balas
bales , balas
bales2in,balas-membalas
balesin,membalas
bandes , bantuan desa
bandingin,bandingkan
bangat,banget
bangcat,bangsat
bangdes , pembangunan desa
banged,banget
bangedd,banget
bangedh , banget
bangedt,banget
bangeeeeetttt,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeett,banget
bangeettt,banget
banger,banget
banget,sangat
bangets,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangetttttyt,banget
bangg,bang
"bangga""in",membangga-banggakan
bangga2in,membangga-banggakan
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkotan , tua
bangkret,bangkrut
bangrt,banget
bangshad,bangsat
bangt,banget
"bangt""",banget-banget
banhet,banget
banpol , bantuan polisi
banpres , bantuan presiden
banpur , bantuan tempur
bansarkas , bantuan sarana kesehatan
bante,bantai
bantuanny,bantuannya
bantuim,bantu
banx,bang
banyaaaaaak,banyak
banyaaaak,banyak
banyaak,banyak
banyak2,banyak-banyak
banyakin,membanyaki
bape,bawa perasaan
bapeeeer,bawa perasaan
bapeerr,bawa perasaan
baper,bawa perasaan
baper , bawa perasaan
baperr,bawa perasaan
baraang,barang
barang2,barang-barang
barengg,bareng
baru2,baru-baru
baruu,baru
basbang , basi
basodaraa,bersaudara
bat,banget
batesin,batasi
batikk,batik
battt,banget
batwc,banget
"bawa""",bawa-bawa
bawa2,bawa-bawa
bawak,bawa
bayangin,bayangkan
bazengg,bajingan
bazis ," badan amal, zakat, infak, dan sedekah"
bbrp,beberapa
bbrp , beberapa
bbrpa,beberapa
bc,baca
bca,baca
bcanda , bercanda
bcnda,bercanda
bcoz , karena
bdampingan,berdampingan
bdan,badan
bdaya , budaya
bdg , bandung
bdk , budak
bdn,badan
beb , sayang
bebal , bodoh
bebrp,beberapa
beda2,beda-beda
bedaa,beda
bedaaa,beda
bedain,membedakan
bedainnya,membedakannya
bedakin , bedak
bedanyaaa,bedanya
bedua,berdua
begajulan , nakal
begete,banget
beginii,begini
beginiiii,begini
begok,bego
bejibun , banyak
bejilbbnya,berjilbabnya
"bela""in",membela-bela
bela2in,membela-bela
belain,membela
belanjaa,belanja
beliiin,belikan
beliin,membelikan
beliin,belikan
beliin , belikan
bellain,membela
belom,belum
belom , belum
belooomm,belum
beluumm,belum
bem , badan eksekutif mahasiswa
benahin,membenahi
"benar""",benar-benar
benar2,benar-benar
benarin,membenarkan
benarjujur , benar
benarjujur , jujur
bencong , banci
benda2,benda-benda
bener,benar
bener , benar
"bener""",benar-benar
bener2,benar-benar
bener2 , bener bener
beneraan,benaran
beneran,benaran
benerr,benar
benet,benar
benetaran,benaran
bengkak2,bengkak-bengkak
benneeeeeerr,benar
bentar , sebentar
bentarr,bentar
ber2,berdua
ber2 , berdua
ber3 , bertiga
berangat,berangkat
berani2,berani-berani
berarto,berarti
berati,berarti
beratttttttt,berat
berbakiti,berbakti
berbeda2,berbeda-beda
berbiiiiiihhh,barbie
berdikari , berdiri di atas kaki sendiri
berenanh,berenang
beresin , membereskan
ber'expresi,berekspresi
berfikir,berpikir
bergunaa,berguna
berhenti2 , berhenti berhenti
berhijap,berhijab
berjinah,berzina
berkluarga,berkeluarga
bermaksut,bermaksud
berntung,beruntung
bertatto,bertato
bertolernsi,bertoleransi
beruntungnyaaaa,beruntungnya
"besar""",besar-besar
besar2an,besar-besaran
besar2in,besar-besarkan
besarin,membesarkan
besokkk,besok
besook,besok
bet,banget
bet , banget
bete , bosan
beti , beda tipis
bets,banget
bettt,banget
betul2,betul-betul
betuuuuulllllllllllllllll,betul
beud,banget
beud,sangat
beud , banget
beudd,banget
beut,banget
beut , banget
bg,bang
bg , abang
bg , bagi
bgd,banget
bgd , banget
bgect,banget
bget,banget
bgettt,banget
bgi,bagi
bgini,begini
bgitu,begitu
bgm , bagaimana
bgmana,bagaimana
bgmn,bagaimana
bgmn , bagaimana
bgmna,bagaimana
bgni,begini
bgs,bagus
bgs , bagus
bgst , bangsat
bgt,banget
bgt,sangat
bgt , banget
bgtt,banget
bgttt,banget
bgtttt,banget
bgttttttt,banget
bgtttttttt,banget
bgtu,begitu
bgtu , begitu
bgtuu,begitu
bgun,bangun
bgus,bagus
bgussss,bagus
bhagaia,bahagia
bhagia,bahagia
bhai , bye
bhas,bahas
bhet,banget
bhgia,bahagia
bhgiain,membahagiakan
bhijab,berhijab
bhkan , bahkan
bhkn,bahkan
bhn,bahan
bhnya,bahannya
bhs,bahasa
bhubu , tidur
bhw,bahwa
bhw , bahwa
bhwa,bahwa
bhy , bahaya
biarin,biarkan
biasa2,biasa-biasa
biasaa,biasa
biasaaa,biasa
biasaaaa,biasa
biasahhh,biasa
bijak2,bijak-bijak
bijimane , bagaimana
bijin,bikin
bikinin,bikin
bikinin,membikin
bikinnn,bikin
"bilang""",bilang-bilang
bilang2,bilang-bilang
bilangg,bilang
bilangin,bilang
bilanh,bilang
bilanh , bilang
bilng,bilang
bimbuluh , bimbingan dan penyuluhan
binggo,banget
bingiiittttzzzz,banget
bingiiittzz,banget
bingiit,banget
bingiittt,banget
bingit,banget
bingits,banget
bingitss,banget
bingitsss,banget
bingitt,banget
bingittzz,banget
bingitzzzz,banget
bintal , bimbingan mental
bird,biru
biri,biru
bisaa,bisa
bisaaa,bisa
bisax,bisanya
bisi , kalau-kalau
biza,bisa
bju,baju
bka,buka
bkal,bakal
bkan,bukan
bkannya , bukannya
bkin,bikin
bkl , akan
bkln,bakalan
bkmt , badan kontak majelis taklim
bkn,bukan
bkn,bikin
bkn , bukan
bknnya , bukannya
bl,bila
bl , beli
blajar,belajar
blakon,berlakon
blas , balas
blegug , bodoh
bleh,boleh
blg,bilang
blg , bilang
blh,boleh
blh , boleh
bli,beli
bli2n,beli-belikan
blik,balik
blim,belum
bljr,belajar
blkang,belakang
blkng,belakang
blln,bulan
blm,belum
blm , belum
bln,bulan
bln , bulan
blng,bilang
blnja,belanja
bloghhh,goblok
blom,belum
bls,balas
bls , balas
blum,belum
blum , belum
bnchi , benci
bnci , benci
bnda,bunda
bnda , benda
bner,benar
"bner""",benar-benar
bner2,benar-benar
bneraan,benaran
bneran,benaran
bnern,benaran
bnerr,benar
bng,bang
bngatt,banget
bngeeeetttt,banget
bngeet,banget
bnget,banget
bngett,banget
bngettt,banget
bngetttt,banget
bnggain,banggakan
bngkit,bangkit
bngt,banget
bngtt,banget
bngttt,banget
bngtttt,banget
bngtzt,banget
bngun,bangun
bngung , bingung
bngunlah,bangunlah
bngy,banget
bnk,bang
bnr,benar
bnr2,benar-benar
bnran,benaran
bnran , yang benar
bnrn,benaran
bntar,bentar
bntr,bentar
bntr , sebentar
bntu,bantu
bnyak,banyak
bnyk,banyak
bnyk , banyak
bodhoo,bodoh
bodhooo,bodoh
bodor , lucu
bohay , badan aduhai
bokap , ayah
bokep , porno
bokep , video porno
boker,berak
boker , buang air besar
bokin , pacar
bokis , bohong
bol3h,boleh
bolang,bocah petualang
bole,boleh
bole , boleh
boleh2,boleh-boleh
boljug , boleh juga
bolot , bodoh
bonek , bocah nekat
bonyok , ayah ibu
boong,bohong
bo'ong,bohong
bopi , badan olahraga profesional indonesia
boro2,boro-boro
bosaan,bosan
bosen,bosan
bosen2,bosan-bosan
bosenin,membosankan
boss,bos
botakin,botaki
botakkkk,botak
boyeh , boleh
bpk,bapak
bpk , bapak
bpkmu,bapakmu
bpknya,bapaknya
br,baru
br , baru
bradegan,beradegan
brangnya,barangnya
brani,berani
branjak,beranjak
brantem,berantem
brapa,berapa
brarti,berarti
brasa,berasa
brayyy,bray
brb , segera kembali
brbakti,berbakti
brbuat,berbuat
brdiri,berdiri
brdua,berdua
brengsekk,brengsek
bres,beres
brg,bareng
brg , bareng
"brg""",bareng-bareng
brhadapan , berhadapan
brhasil,berhasil
brhjb,berhijab
brisi,berisi
brita,berita
britanya,beritanya
brjdh,berjodoh
brjodoh,berjodoh
brkunjun,berkunjung
brngkt , berangkat
bro , saudara laki-laki
bronis,brondong manis
brp,berapa
brp , berapa
brpa,berapa
brpndapat,berpendapat
brrt,berarti
brrti,berarti
brsama,bersama
brsdia , bersedia
brsma,bersama
brstu , bersatu
brsyukur,bersyukur
brtngkar,bertengkar
bru,baru
bru , baru
brubah,berubah
brur , saudara laki-laki
brusaha,berusaha
bs,bisa
bs , bisa
bsa,bisa
bsa , bisa
bsen , bosan
bsk,besok
bsk , besok
bsok,besok
bsr , besar
bt,buat
bt , bosan sekali
bt , buat
btol , botol
btuh,butuh
btul,betul
btulan,betulan
btw , by the way
btw , ngomong-ngomong
bu_bu , tidur
buangbuang , buang
buanget,banget
buanyaaak,banyak
buatin,buatkan
buatin,membuat
buaya , tidak setia
bubarin , bubarkan
bubbu , tidur
buber , buka bersama
bubu , tidur
bujngn,bujangan
bujubune , luar biasa
bujukk,bujuk
buka2,buka-buka
buka2an,buka-bukaan
bukak,buka
bukan'a,bukannya
bukn,bukan
bukti2,bukti-bukti
buktiin,buktikan
buktiin,membuktikan
buktinyaaa,buktinya
bulet,bulat
bumil , ibu hamil
bund,bunda
bundaa,bunda
bundaaa,bunda
bundaaaa,bunda
bunga2,bunga-bunga
bungggg,bung
bungkusin,bungkuskan
bungkuuussss,bungkus
bungkuuuuuuuuusss,bungkus
bunuh2an , bunuh-bunuhan
burem,buram
buruann,buruan
buruannn,buruan
busedh,buset
buseett,buset
buser , buru sergap
buuun,bun
buzzerbuzzer , buzzer
bw,bawa
bw , bawa
"bwa""",bawa-bawa
bwhn , bawahan
bwt,buat
bwt , buat
byak,banyak
byangin,membayangkan
byar , bayar
byaran,bayaran
byk,banyak
byk , banyak
byr , bayar
byrin , bayarkan
bz,bisa
c,sih
c8 , chat
caaannnttiikkk,cantik
caantiiik,cantik
cabal , sabar
cabe2,cabe-cabe
cabe2an,cabe-cabean
cabol,cabul
cabut , pergi
cadas , keren
cadasss,cadas
caem , cakep
cakap , berbicara
cakeeeeppp,cakep
cakeep,cakep
cakepp,cakep
cali,caci
calo , makelar
cama-cama , sama-sama
campurin,mencampuri
can , belum
canci,cantik
cangcut , celana dalam
cannnnntikkkkkkk,cantik
cannntikk,cantik
cans,cantik
canteek,cantik
canti,cantik
cantiiiiiiik,cantik
cantiiiik,cantik
cantiiiikk,cantik
cantiiik,cantik
cantiiikk,cantik
cantiiikkk,cantik
cantiiillx,cantik
cantiik,cantik
cantiik2,cantik-cantik
cantiikk,cantik
cantiikkkk,cantik
cantik2,cantik-cantik
cantik2nya,cantik-cantiknya
cantika,cantik
cantikk,cantik
cantikkk,cantik
cantikkkk,cantik
cantikkkkk,cantik
cantikkkkkk,cantik
cantikkkkkkkk,cantik
cantikkkm,cantik
cantiknnnnyaaaaaaa,cantiknya
cantiknyaa,cantiknya
cantiknyaaa,cantiknya
cantiknyaaaaa,cantiknya
cantiks,cantik
cantikx,cantiknya
cantinya,cantiknya
cantip,cantik
cantiq,cantik
cantiqs,cantik
cantix,cantik
cantk,cantik
canttikkk,cantik
canttttikkk,cantik
canyk,cantik
capa,sapa
capcus , pergi
cape,capek
cape , capek
capee,cape
capek , lelah
caper , cari perhatian
capresss , calon presiden
caranga,caranya
cari2,cari-cari
cariin,carikan
catiiiiik,cantik
catokin,catok
caur , jelek
caya,percaya
cayalah , percaya
cb,coba
cb , coba
cba,coba
cc , carbon copy
ccok,cocok
cd,celana dalam
ce , cewek
ceemen,cemen
cek2,cek-cek
cekak , tidak ada uang
cekal , cegah tangkal
cekidot , coba lihat
ceklist,ceklis
cem,macam
cemburuu,cemburu
cemen , penakut
cemplungin , cemplungkan
cempreeng,cempreng
cengengesan , tertawa
centillll,centil
centilnyaaaaaa,centilnya
cepat2 , cepat cepat
ceper , pendek
cepet,cepat
cepet , cepat
cepet2,cepat-cepat
cepetan,cepatan
cerdass,cerdas
cerdiik,cerdik
ceritax,ceritanya
ceu , kakak perempuan
cew,cewek
cew , cewek
cewe,cewek
cewe , cewek
cewer,jewer
chelalyyu,selalu
choker2,choker-choker
chuyunk , sayang
ciapa,siapa
cibuk , sibuk
ciee,cie
cieee,cie
cieeee,cie
cieeeee,cie
ciieeeeeee,cie
ciiieee,cie
cimeng , ganja
cin , cinta
cinggirnyaaaa,cinggirnya
cini,sini
cino,cina
cintaaaaaaa,cinta
cintax,cintanya
cipika cipiki , cium pipi kanan cium pipi kiri
ciptain,ciptakan
ciptain,menciptakan
cita2,cita-cita
ciumman,ciuman
ciusss,serius
ciuuuummmm,cium
ciye , cie
ciyeeee,cie
ciyeeeeeee,cie
ciyh , sih
ciyusss,serius
cjr , coboy junior
ckck , ck
ckepp , cakep
ckp,cukup
ckp , cakep
ckp , cukup
ckrng,sekarang
ckup,cukup
clbk , cinta lama bersemi kembali
cm,cuma
cm,hanya
cm , cuma
cma,cuma
cma,hanya
cman,cuman
cmiiw , correct me if i'm wrong
cmkn,camkan
cmn,cuman
cmpr , campur
cmpur,campur
cmpur , campur
cnenk , senang
cntiiikkk,cantik
cntik,cantik
cntikan,cantikan
cntikk,cantik
cntiknya,cantiknya
cntk,cantik
co,cowok
cobaa,coba
cobaaa,coba
cobaaaa,coba
cobain,coba
cobain,mencoba
cobak,coba
coccokk,cocok
cock,cocok
cocokk,cocok
cocokkk,cocok
cocokkkk,cocok
cocokkkkk,cocok
cocokny,cocoknya
cocokx,cocoknya
cocook,cocok
cocookk,cocok
coeggg,coeg
cogan,cowok ganteng
comen,komen
comen2nya,komen-komennya
coment,komen
coment,komentar
comment2nya,komentar-komentarnya
comnet,komen
comntr,komentar
cong , banci
congor , mulut
conlok , cinta lokasi
cooocok,cocok
cooooooocok,cocok
"coret""",coret-coret
cos , cause
cow,cowok
cow , cowo
cow , cowok
cowo,cowok
cowwyy , maaf
coxok,cocok
coyyy,coy
coz , karena
cp , siapa
cpa,siapa
cpa , siapa
cpe , capek
cpet,cepat
cpit,sipit
cppa , siapa
cppe , capek
cpt,cepat
cr,cara
cr , cara
cri,cari
critamu,ceritamu
crny , caranya
cth , contoh
cuaaantikk,cantik
cuaantik,cantik
cuantek,cantik
cuanti,cantik
cuantik,cantik
cuantikkk,cantik
cubanget,lucu banget
cuchook,cocok
cuco,cocok
cucok,cocok
cucok , cocok
cucokkk,cocok
cuek , tidak acuh
cuex , cuek
cukurrr,cukur
cuma,hanya
cuman , Cuma
cumi , Cuma miscall
cumn,cuman
cums,cuma
cungkring , kurus tinggi
cups , culun
cupu , culun
curanmor , pencurian kendaraan bermotor
curas , pencurian dengan kekerasan
curcol , curahan hati colongan
curhat , curahan hati
curhat2,curhat-curhat
cust , customer
cuyy,cuy
cuyyy,cuy
cw,cewek
cwe,cewek
cwek,cewek
cwek , cewek
cwnya,ceweknya
cwo,cowok
cwo , cowo
cwok,cowok
cwok , cowok
cyiiin,cinta
cyin,cinta
cyin , cinta
cz , karena
d,ada
d,di
d , di
d.apa,diapa
d.bikinin,dibikin
da,sudah
da,ada
da,dah
daaaah,deh
daaah,dah
daah,dah
daah,deh
dagh , sudah
dah,deh
dah , deh
dah , sudah
dahh,dah
dahh,deh
dahhhh,dah
dak,indak
dalem2,dalam-dalam
dalil2,dalil-dalil
dallam,dalam
damang , sehat
dapet,dapat
dapet , dapat
dapetin,mendapati
dapetin,mendapatkan
darpada,daripada
dasaar,dasar
dasarrr,dasar
dasyat,dahsyat
dateng,datang
dateng , datang
dblkang,dibelakang
dblkng,dibelakang
dbnding,dibanding
dbuat,dibuat
dbwh,dibawah
dcintai,dicintai
ddlm,di dalam
ddpat,didapat
ddpt,didapat
de,dek
de,deh
de , adik
debay,adek bayi
dech,deh
dech , deh
dede,adek
dedek,adek
dedeknya,adeknya
dee,dek
deeek,dek
deeh,deh
deg2an,deg-degan
dehat,sehat
dehh,deh
dehhh,deh
dehhhh,deh
dek , adik
deket,dekat
deket , dekat
deketin,dekati
dekk,dek
dekkk,dek
dekt,dekat
demen , suka
dempga,semoga
dengarin,mendengarkan
dengeeriin,dengarkan
denger,dengar
denger , dengar
dengerin,dengarkan
dengerin,mendengarkan
dengerin , dengarkan
deuhh,duh
dewassa,dewasa
deyh , deh
dg,dengan
dg , dengan
dgn,dengan
dgn , dengan
dgr,dengar
dgr , dengar
dh,deh
dh,dah
dh , deh
dh , sudah
dhe,deh
dhi,di
dhpusin,dihapuskan
diaa,dia
diaaa,dia
diajarin,diajari
diakibtkn,diakibatkan
"diam""",diam-diam
diamkn,diamkan
diancurin , dihancurkan
dianter,diantar
dianterin,diantar
dianterin,diantarkan
diapa2in,diapa-apai
diapain,diapakan
dibanggain,dibanggakan
dibangga'in,dibangga-banggakan
dibiarin,dibiarkan
dibikin2,dibikin-bikin
dibkatakan,dikatakan
dibls,dibalas
dibnggain,dibanggakan
didapet,didapat
didatengin,didatangi
didengerin,didengarkan
die , dia
dieee,dia
diem,diam
diem2 , diam diam
diemin,diamkan
diemm,diam
difotoin,difoto
digabtikan,digantikan
digambarin,digambarkan
diginiin,dibeginikan
diginikan,dibeginikan
digituin,dibegitukan
digosipin , digosipkan
dihargain,dihargai
dihh,dih
dihpus,dihapus
dii,di
diihhhh,dih
diindonesis,diindonesia
diingetin,diingatkan
dijadiin,dijadikan
dijelekin,dijelekkan
dijkt,dijakarta
dijwb,dijawab
dikata2in,dikata-katai
dikatain,dikatai
dikemanain,dikemanakan
dikerasin,dikerasi
diksi,dikasih
dikti  , direktoral jendral pendidikan tinggi
diladenin,diladeni
dilepas2,dilepas-lepas
diliat,dilihat
diliatnya,dilihatnya
dilindungin,dilindungi
diluangin,diluangkan
diluarann,diluaran
dimaafin , dimaafkan
"dimana""",dimana-mana
dimana2 , dimana-mana
dimao,dimau
dimarahin,dimarahi
dimasukin,dimasuki
dimintak , diminta
dimna , dimana
dimusiumin,dimuseumkan
dinamakn,dinamakan
"dingin""",dingin-dingin
dinyanyiin,dinyanyikan
dipake,dipakai
dipermainin,dipermainkan
dipikirin,dipikirkan
dipojokin,dipojokkan
dipuja2,dipuja-puja
diputusin,diputuskan
direhap , direhab
dirimuuu,dirimu
dirmh,dirumah
dirumahny,dirumahnya
disiniii,disini
disni,disini
disono , di sana
disupirin,disopiri
ditayangin,ditayangkan
ditengah2,ditengah-tengah
ditutupin,ditutupi
dituutup,ditutup
diuber , dikejar
diurusin,diurusi
dket , dekat
dket2in,dekat-dekati
dki , daerah khusus ibukota
dkit , sedikit
dkk,dan kawan-kawan
dkk ,dan kawan-kawan
dkuburnya,dikuburnya
dl,dulu
dl , dulu
dlam,dalam
dll , dan lain-lain
dlm,dalam
dlm , dalam
dlu,dulu
dlu , dulu
dluar,diluar
dmaksud , dimaksud
dmana,dimana
dmn,dimana
dmn , dimana
dmna,dimana
dn,dan
dn , dan
dng,dengan
dngan,dengan
dngerin,mendengarkan
dngn , dengan
dnk,dong
do,di
doa2,doa-doa
doaang,doang
doang , saja
doangam,doang
doank,doang
dodol , bodoh
doeloe,dulu
doi , dia
doku , uang
don juan , playboy
dongg,dong
donggg,dong
dongggg,dong
dongok , bodoh
dongs , dong
donk,dong
donk , dong
donkk,dong
donks,dong
donlot , unduh
donx,dong
doong,dong
doonk,dong
dooong,dong
dosa2mu,dosa-dosamu
dosaa,dosa
dosaaaaaaaaaa,dosa
dosax,dosanya
dpke,dipakai
dpn,depan
dposisi,diposisi
dpotong,dipotong
dpr , dewan perwakilan rakyat
